"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.331542","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0340364","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Period Mean (original grids)","MeanState","global","scalar","%","0.485368","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Model Period Mean (intersection)","MeanState","global","scalar","%","0.545871","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Model Period Mean (complement)","MeanState","global","scalar","%","0.0232446","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Spatial Distribution Score","MeanState","global","score","1","0.683878","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Phase Shift","MeanState","global","scalar","months","3.23362","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Seasonal Cycle Score","MeanState","global","score","1","0.451383","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Bias","MeanState","global","scalar","%","0.214328","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Bias Score","MeanState","global","score","1","0.649014","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","RMSE","MeanState","global","scalar","%","0.880052","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","RMSE Score","MeanState","global","score","1","0.666637","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_Spit_noN","Overall Score","MeanState","global","score","1","0.62351","75.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","S3_noSpit_noN","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.331542","75.0"
