"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_byram","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.57016","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_byram","Bias","MeanState","global","scalar","g m-2 d-1","-0.123848","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_byram","Bias Score","MeanState","global","score","1","0.576084","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_byram","Phase Shift","MeanState","global","scalar","months","0.926568","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_byram","Seasonal Cycle Score","MeanState","global","score","1","0.865535","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_byram","RMSE","MeanState","global","scalar","g m-2 d-1","1.65036","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_byram","RMSE Score","MeanState","global","score","1","0.468586","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_byram","Overall Score","MeanState","global","score","1","0.594698","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_surffwd","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.56996","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_surffwd","Bias","MeanState","global","scalar","g m-2 d-1","-0.124045","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_surffwd","Bias Score","MeanState","global","score","1","0.579185","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_surffwd","Phase Shift","MeanState","global","scalar","months","0.926568","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_surffwd","Seasonal Cycle Score","MeanState","global","score","1","0.865535","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_surffwd","RMSE","MeanState","global","scalar","g m-2 d-1","1.64541","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_surffwd","RMSE Score","MeanState","global","score","1","0.469134","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_surffwd","Overall Score","MeanState","global","score","1","0.595747","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_stand_weighting","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.57057","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_stand_weighting","Bias","MeanState","global","scalar","g m-2 d-1","-0.12344","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_stand_weighting","Bias Score","MeanState","global","score","1","0.576088","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_stand_weighting","Phase Shift","MeanState","global","scalar","months","0.926568","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_stand_weighting","Seasonal Cycle Score","MeanState","global","score","1","0.865535","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_stand_weighting","RMSE","MeanState","global","scalar","g m-2 d-1","1.65033","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_stand_weighting","RMSE Score","MeanState","global","score","1","0.46856","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","fix_stand_weighting","Overall Score","MeanState","global","score","1","0.594686","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","95.6684","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","nan","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","114.968","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","114.645","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","0.322149","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Spatial Distribution Score","MeanState","global","score","1","0.958549","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Phase Shift","MeanState","global","scalar","months","1.06938","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Seasonal Cycle Score","MeanState","global","score","1","0.775465","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Bias","MeanState","global","scalar","g m-2 d-1","0.436411","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Bias Score","MeanState","global","score","1","0.472583","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","RMSE","MeanState","global","scalar","g m-2 d-1","1.13503","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","RMSE Score","MeanState","global","score","1","0.449684","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_byram","Overall Score","MeanState","global","score","1","0.621193","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","95.6684","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","nan","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","115.642","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","115.319","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","0.322655","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Spatial Distribution Score","MeanState","global","score","1","0.957218","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Phase Shift","MeanState","global","scalar","months","1.0672","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Seasonal Cycle Score","MeanState","global","score","1","0.776501","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Bias","MeanState","global","scalar","g m-2 d-1","0.451907","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Bias Score","MeanState","global","score","1","0.468176","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","RMSE","MeanState","global","scalar","g m-2 d-1","1.14338","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","RMSE Score","MeanState","global","score","1","0.449928","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_surffwd","Overall Score","MeanState","global","score","1","0.62035","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","95.6684","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","nan","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","114.963","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","114.641","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","0.321995","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Spatial Distribution Score","MeanState","global","score","1","0.958519","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Phase Shift","MeanState","global","scalar","months","1.06937","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Seasonal Cycle Score","MeanState","global","score","1","0.775471","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Bias","MeanState","global","scalar","g m-2 d-1","0.436315","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Bias Score","MeanState","global","score","1","0.472475","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","RMSE","MeanState","global","scalar","g m-2 d-1","1.13521","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","RMSE Score","MeanState","global","score","1","0.449636","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","fix_stand_weighting","Overall Score","MeanState","global","score","1","0.621148","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_byram","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","-0.152245","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_byram","Bias","MeanState","global","scalar","g m-2 d-1","0.516403","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_byram","Bias Score","MeanState","global","score","1","0.45956","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_byram","Phase Shift","MeanState","global","scalar","months","2.02211","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_byram","Seasonal Cycle Score","MeanState","global","score","1","0.626945","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_byram","RMSE","MeanState","global","scalar","g m-2 d-1","1.88849","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_byram","RMSE Score","MeanState","global","score","1","0.334815","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_byram","Overall Score","MeanState","global","score","1","0.439034","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_surffwd","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","-0.151382","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_surffwd","Bias","MeanState","global","scalar","g m-2 d-1","0.517266","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_surffwd","Bias Score","MeanState","global","score","1","0.459204","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_surffwd","Phase Shift","MeanState","global","scalar","months","2.02203","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_surffwd","Seasonal Cycle Score","MeanState","global","score","1","0.62727","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_surffwd","RMSE","MeanState","global","scalar","g m-2 d-1","1.88376","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_surffwd","RMSE Score","MeanState","global","score","1","0.335946","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_surffwd","Overall Score","MeanState","global","score","1","0.439592","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_stand_weighting","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","-0.152456","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_stand_weighting","Bias","MeanState","global","scalar","g m-2 d-1","0.516192","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_stand_weighting","Bias Score","MeanState","global","score","1","0.459644","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_stand_weighting","Phase Shift","MeanState","global","scalar","months","2.02211","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_stand_weighting","Seasonal Cycle Score","MeanState","global","score","1","0.626945","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_stand_weighting","RMSE","MeanState","global","scalar","g m-2 d-1","1.88825","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_stand_weighting","RMSE Score","MeanState","global","score","1","0.334837","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","Fluxnet","fix_stand_weighting","Overall Score","MeanState","global","score","1","0.439066","16.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_surffwd","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","-0.151382","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_surffwd","Bias","MeanState","global","scalar","g m-2 d-1","0.517266","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_surffwd","Bias Score","MeanState","global","score","1","0.459204","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_surffwd","Phase Shift","MeanState","global","scalar","months","2.02203","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_surffwd","Seasonal Cycle Score","MeanState","global","score","1","0.62727","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_surffwd","RMSE","MeanState","global","scalar","g m-2 d-1","1.88376","24.0"
"EcosystemandCarbonCycle","NetEcosystemExchange","FLUXNET2015","fix_surffwd","RMSE Score","MeanState","global","score","1","0.335946","24.0"
