"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.724101","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.07634","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.788138","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.730944","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.23097","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Spatial Distribution Score","MeanState","global","score","1","0.959978","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Phase Shift","MeanState","global","scalar","months","1.34445","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Seasonal Cycle Score","MeanState","global","score","1","0.858513","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Bias","MeanState","global","scalar","mm d-1","0.0068432","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Bias Score","MeanState","global","score","1","0.675866","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","RMSE","MeanState","global","scalar","mm d-1","0.626549","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","RMSE Score","MeanState","global","score","1","0.464014","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_base","Overall Score","MeanState","global","score","1","0.684477","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.724101","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.07634","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.78819","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.730998","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.231","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Spatial Distribution Score","MeanState","global","score","1","0.959997","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Phase Shift","MeanState","global","scalar","months","1.34418","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Seasonal Cycle Score","MeanState","global","score","1","0.858492","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Bias","MeanState","global","scalar","mm d-1","0.00689717","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Bias Score","MeanState","global","score","1","0.675922","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","RMSE","MeanState","global","scalar","mm d-1","0.62652","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","RMSE Score","MeanState","global","score","1","0.464001","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire","Overall Score","MeanState","global","score","1","0.684483","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.724101","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.07634","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.823582","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.765127","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.27618","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Spatial Distribution Score","MeanState","global","score","1","0.962741","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Phase Shift","MeanState","global","scalar","months","1.46229","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Seasonal Cycle Score","MeanState","global","score","1","0.838172","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Bias","MeanState","global","scalar","mm d-1","0.0410265","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Bias Score","MeanState","global","score","1","0.687922","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","RMSE","MeanState","global","scalar","mm d-1","0.664167","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","RMSE Score","MeanState","global","score","1","0.44145","125.0"
"HydrologyCycle","Runoff","CLASS","NMIP3prod_SH1_fix_spitfire_permafrost","Overall Score","MeanState","global","score","1","0.674347","125.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire_permafrost","Period Mean","MeanState","global","scalar","mm d-1","0.785627","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire_permafrost","Bias","MeanState","global","scalar","mm d-1","-0.0397813","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire_permafrost","Bias Score","MeanState","global","score","1","0.803596","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire_permafrost","Interannual Variability Score","MeanState","global","score","1","0.610313","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire_permafrost","Spatial Distribution Score","MeanState","global","score","1","0.941195","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire_permafrost","Overall Score","MeanState","global","score","1","0.785035","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_base","Period Mean","MeanState","global","scalar","mm d-1","0.731332","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_base","Bias","MeanState","global","scalar","mm d-1","-0.094076","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_base","Bias Score","MeanState","global","score","1","0.776719","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_base","Interannual Variability Score","MeanState","global","score","1","0.600316","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_base","Spatial Distribution Score","MeanState","global","score","1","0.943589","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_base","Overall Score","MeanState","global","score","1","0.773542","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire","Period Mean","MeanState","global","scalar","mm d-1","0.73122","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire","Bias","MeanState","global","scalar","mm d-1","-0.0941879","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire","Bias Score","MeanState","global","score","1","0.776687","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire","Interannual Variability Score","MeanState","global","score","1","0.600695","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire","Spatial Distribution Score","MeanState","global","score","1","0.94352","75.0"
"HydrologyCycle","Runoff","Dai","NMIP3prod_SH1_fix_spitfire","Overall Score","MeanState","global","score","1","0.773634","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.816857","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","0.815953","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.809589","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.768877","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.40225","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Spatial Distribution Score","MeanState","global","score","1","0.929017","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Phase Shift","MeanState","global","scalar","months","1.15488","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Seasonal Cycle Score","MeanState","global","score","1","0.867554","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Bias","MeanState","global","scalar","mm d-1","-0.0479797","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Bias Score","MeanState","global","score","1","0.671007","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","RMSE","MeanState","global","scalar","mm d-1","0.687676","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","RMSE Score","MeanState","global","score","1","0.513499","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire_permafrost","Overall Score","MeanState","global","score","1","0.698915","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.816857","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","0.815953","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.773817","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.733799","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.35638","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Spatial Distribution Score","MeanState","global","score","1","0.9258","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Phase Shift","MeanState","global","scalar","months","1.08528","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Seasonal Cycle Score","MeanState","global","score","1","0.887432","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Bias","MeanState","global","scalar","mm d-1","-0.0830578","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Bias Score","MeanState","global","score","1","0.657519","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","RMSE","MeanState","global","scalar","mm d-1","0.66573","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","RMSE Score","MeanState","global","score","1","0.533866","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_base","Overall Score","MeanState","global","score","1","0.707697","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.816857","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","0.815953","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.773827","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.733816","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.35629","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Spatial Distribution Score","MeanState","global","score","1","0.92583","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Phase Shift","MeanState","global","scalar","months","1.0853","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Seasonal Cycle Score","MeanState","global","score","1","0.887425","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Bias","MeanState","global","scalar","mm d-1","-0.0830409","75.0"
"HydrologyCycle","Runoff","LORA","NMIP3prod_SH1_fix_spitfire","Bias Score","MeanState","global","score","1","0.657598","75.0"
