Variables,NMIP3prod_SH1_base,NMIP3prod_SH1_fix_spitfire,NMIP3prod_SH1_fix_spitfire_permafrost
Biomass,0.6471163102301831,0.6455193275111805,0.6845472266705617
Gross Primary Productivity,0.6543285624140613,0.6542885728323302,0.6587024223348869
Leaf Area Index,0.46065369979689674,0.45490634541081315,0.4553904611865024
Global Net Ecosystem Carbon Balance,0.5031799173263239,0.5213969967957377,0.5907094736729965
Carbon Dioxide,0.6055310375803422,0.6057986098732594,0.6565874158990781
Soil Carbon Extended,~,~,~
Ecosystem Respiration,0.6003970703857096,0.600526540682713,0.6074859328352021
Soil Carbon,0.6604029453988584,0.6598701050617616,0.69001484978756
Evapotranspiration,0.6810832515088043,0.6811860494845466,0.6828447762271149
Burned Area,0.6580135976972828,0.6598815822821408,0.65996791007585
Runoff,0.7150998880260488,0.7151329813229699,0.711234872418859
Surface Air Temperature,~,~,~
Precipitation,~,~,~
