"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","SoilCarbonExtended","Koven","TRENDYv15_CRUTS410_S3","Q10(-10","MeanState","[C])","scalar","1","1.69575","75.0"
"EcosystemandCarbonCycle","SoilCarbonExtended","Koven","TRENDYv15_CRUTS410_S3","Q10(+10","MeanState","[C])","scalar","1","2.03722","75.0"
"EcosystemandCarbonCycle","SoilCarbonExtended","Koven","TRENDYv15_CRUTS410_S3","Q10(+25","MeanState","[C])","scalar","1","2.33773","75.0"
"EcosystemandCarbonCycle","SoilCarbonExtended","Koven","TRENDYv15_CRUTS410_S3","RMSE Score","MeanState","global","score","1","0.873688","75.0"
"EcosystemandCarbonCycle","SoilCarbonExtended","Koven","TRENDYv15_CRUTS410_S3","Distribution Score","MeanState","global","score","1","0.561653","75.0"
"EcosystemandCarbonCycle","SoilCarbonExtended","Koven","TRENDYv15_CRUTS410_S3","Overall Score","MeanState","global","score","1","0.769677","75.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3prod_SH1","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.67383","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3prod_SH1","Bias","MeanState","global","scalar","g m-2 d-1","-0.0201766","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3prod_SH1","Bias Score","MeanState","global","score","1","0.568069","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3prod_SH1","Phase Shift","MeanState","global","scalar","months","0.988201","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3prod_SH1","Seasonal Cycle Score","MeanState","global","score","1","0.852942","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3prod_SH1","RMSE","MeanState","global","scalar","g m-2 d-1","1.72064","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3prod_SH1","RMSE Score","MeanState","global","score","1","0.453871","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3prod_SH1","Overall Score","MeanState","global","score","1","0.582188","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","TRENDYv15_CRUTS410_S3","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","3.49442","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","TRENDYv15_CRUTS410_S3","Bias","MeanState","global","scalar","g m-2 d-1","0.800411","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","TRENDYv15_CRUTS410_S3","Bias Score","MeanState","global","score","1","0.502325","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","TRENDYv15_CRUTS410_S3","Phase Shift","MeanState","global","scalar","months","0.968729","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","TRENDYv15_CRUTS410_S3","Seasonal Cycle Score","MeanState","global","score","1","0.876736","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","TRENDYv15_CRUTS410_S3","RMSE","MeanState","global","scalar","g m-2 d-1","2.17175","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","TRENDYv15_CRUTS410_S3","RMSE Score","MeanState","global","score","1","0.419824","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","TRENDYv15_CRUTS410_S3","Overall Score","MeanState","global","score","1","0.554677","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","upperbnf","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.58674","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","upperbnf","Bias","MeanState","global","scalar","g m-2 d-1","-0.107265","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","upperbnf","Bias Score","MeanState","global","score","1","0.568191","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","upperbnf","Phase Shift","MeanState","global","scalar","months","0.951485","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","upperbnf","Seasonal Cycle Score","MeanState","global","score","1","0.860258","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","upperbnf","RMSE","MeanState","global","scalar","g m-2 d-1","1.70364","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","upperbnf","RMSE Score","MeanState","global","score","1","0.457918","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","upperbnf","Overall Score","MeanState","global","score","1","0.586071","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3_SH1","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.66991","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3_SH1","Bias","MeanState","global","scalar","g m-2 d-1","-0.024093","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3_SH1","Bias Score","MeanState","global","score","1","0.568544","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3_SH1","Phase Shift","MeanState","global","scalar","months","0.988201","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3_SH1","Seasonal Cycle Score","MeanState","global","score","1","0.852942","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3_SH1","RMSE","MeanState","global","scalar","g m-2 d-1","1.71619","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3_SH1","RMSE Score","MeanState","global","score","1","0.454273","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","NMIP3_SH1","Overall Score","MeanState","global","score","1","0.582508","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","midbnf","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.55813","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","midbnf","Bias","MeanState","global","scalar","g m-2 d-1","-0.13588","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","midbnf","Bias Score","MeanState","global","score","1","0.572693","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","midbnf","Phase Shift","MeanState","global","scalar","months","0.961716","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","midbnf","Seasonal Cycle Score","MeanState","global","score","1","0.858625","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","midbnf","RMSE","MeanState","global","scalar","g m-2 d-1","1.69376","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","midbnf","RMSE Score","MeanState","global","score","1","0.460406","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","midbnf","Overall Score","MeanState","global","score","1","0.588032","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","baseline20260821","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","2.50396","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","baseline20260821","Bias","MeanState","global","scalar","g m-2 d-1","-0.190051","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","baseline20260821","Bias Score","MeanState","global","score","1","0.559946","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","baseline20260821","Phase Shift","MeanState","global","scalar","months","0.967739","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","baseline20260821","Seasonal Cycle Score","MeanState","global","score","1","0.859508","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","baseline20260821","RMSE","MeanState","global","scalar","g m-2 d-1","1.69134","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","baseline20260821","RMSE Score","MeanState","global","score","1","0.463037","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXNET2015","baseline20260821","Overall Score","MeanState","global","score","1","0.586382","24.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","95.6684","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","nan","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","117.542","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","117.268","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","0.274009","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Spatial Distribution Score","MeanState","global","score","1","0.941778","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Phase Shift","MeanState","global","scalar","months","1.09509","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Seasonal Cycle Score","MeanState","global","score","1","0.771838","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Bias","MeanState","global","scalar","g m-2 d-1","0.496727","16.0"
"EcosystemandCarbonCycle","EcosystemRespiration","FLUXCOM","NMIP3_SH1","Bias Score","MeanState","global","score","1","0.417876","16.0"
