Variables,baseline20260821,midbnf,NMIP3prod_SH1,NMIP3_SH1,TRENDYv15_CRUTS410_S3,upperbnf
Biomass,0.6360876091344719,0.6471973269942961,0.6370678850825341,0.6324159443011781,0.6445849043184866,0.6494620660961726
Gross Primary Productivity,0.6476901592382116,0.6543054517612185,0.6480687648296671,0.648285061381764,0.6210354319440433,0.6537242065313141
Leaf Area Index,0.4625496289021556,0.4609343912152414,0.5052295247859019,0.5036289791464743,0.5409376897096094,0.4681042587001547
Global Net Ecosystem Carbon Balance,0.5288955879648736,0.5011551287997326,0.5870231616930202,0.6159042704607531,0.5744790977439289,0.49310073464971127
Carbon Dioxide,0.6098116986613065,0.6054093940699744,0.6085715596136826,0.6083294881053427,0.720035334572811,0.6023658420379502
Soil Carbon Extended,--,--,--,--,0.7696766513156835,--
Ecosystem Respiration,0.5976995186503904,0.600358328364743,0.589456998333728,0.5896378870638173,0.572769342963595,0.5979537424738253
Soil Carbon,0.6930880654932975,0.6603945183969101,0.6924856106017038,0.6991102496588586,0.6931647580923541,0.6453555135107096
Evapotranspiration,0.6811160814671884,0.6810859748393917,0.6807665501435196,0.6807841600849901,0.690279525443216,0.6810474638100834
Burned Area,0.6585454603417676,0.6584175519248314,0.658562354932933,0.6580887031516133,0.5237250736242404,0.6589810766736883
Runoff,0.7150047767415156,0.715100837460999,0.7151841909182801,0.7152700178161335,0.689940119490677,0.7150534934305981
Surface Air Temperature,--,--,--,--,0.9408887224511865,--
Precipitation,--,--,--,--,0.8462462333580788,--
