"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.331542","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0340364","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Period Mean (original grids)","MeanState","global","scalar","%","0.10928","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Model Period Mean (intersection)","MeanState","global","scalar","%","0.119337","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Model Period Mean (complement)","MeanState","global","scalar","%","0.0324667","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Spatial Distribution Score","MeanState","global","score","1","0.213599","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Phase Shift","MeanState","global","scalar","months","3.23362","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Seasonal Cycle Score","MeanState","global","score","1","0.451383","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Bias","MeanState","global","scalar","%","-0.212206","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Bias Score","MeanState","global","score","1","0.665013","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","RMSE","MeanState","global","scalar","%","0.670884","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","RMSE Score","MeanState","global","score","1","0.666637","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv14","Overall Score","MeanState","global","score","1","0.532654","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.331542","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0340364","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Period Mean (original grids)","MeanState","global","scalar","%","0.0818103","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Model Period Mean (intersection)","MeanState","global","scalar","%","0.091287","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Model Period Mean (complement)","MeanState","global","scalar","%","0.00942735","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Spatial Distribution Score","MeanState","global","score","1","0.147153","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Phase Shift","MeanState","global","scalar","months","3.23362","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Seasonal Cycle Score","MeanState","global","score","1","0.451383","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Bias","MeanState","global","scalar","%","-0.240255","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Bias Score","MeanState","global","score","1","0.686815","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","RMSE","MeanState","global","scalar","%","0.649317","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","RMSE Score","MeanState","global","score","1","0.666637","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUTS410_accum","Overall Score","MeanState","global","score","1","0.523725","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.331542","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0340364","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Period Mean (original grids)","MeanState","global","scalar","%","0.973449","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Model Period Mean (intersection)","MeanState","global","scalar","%","1.0871","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Model Period Mean (complement)","MeanState","global","scalar","%","0.105414","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Spatial Distribution Score","MeanState","global","score","1","0.216548","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Phase Shift","MeanState","global","scalar","months","3.23362","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Seasonal Cycle Score","MeanState","global","score","1","0.451383","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Bias","MeanState","global","scalar","%","0.755554","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Bias Score","MeanState","global","score","1","0.477363","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","RMSE","MeanState","global","scalar","%","1.37408","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","RMSE Score","MeanState","global","score","1","0.666637","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","TRENDYv13","Overall Score","MeanState","global","score","1","0.495714","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.331542","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0340364","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Period Mean (original grids)","MeanState","global","scalar","%","0.108364","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Model Period Mean (intersection)","MeanState","global","scalar","%","0.121188","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Model Period Mean (complement)","MeanState","global","scalar","%","0.0104141","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Spatial Distribution Score","MeanState","global","score","1","0.205849","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Phase Shift","MeanState","global","scalar","months","3.23362","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Seasonal Cycle Score","MeanState","global","score","1","0.451383","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Bias","MeanState","global","scalar","%","-0.210355","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Bias Score","MeanState","global","score","1","0.672544","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","RMSE","MeanState","global","scalar","%","0.658637","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","RMSE Score","MeanState","global","score","1","0.666637","75.0"
"HydrologyCycle","BurnedArea","GFED4.1S","CRUJRAv15_accum","Overall Score","MeanState","global","score","1","0.53261","75.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.724101","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.07634","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.964164","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.899917","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","1.4616","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Spatial Distribution Score","MeanState","global","score","1","0.931842","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Phase Shift","MeanState","global","scalar","months","1.30499","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Seasonal Cycle Score","MeanState","global","score","1","0.852595","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Bias","MeanState","global","scalar","mm d-1","0.175817","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","Bias Score","MeanState","global","score","1","0.647523","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","RMSE","MeanState","global","scalar","mm d-1","0.81444","125.0"
"HydrologyCycle","Runoff","CLASS","TRENDYv13","RMSE Score","MeanState","global","score","1","0.396713","125.0"
