Variables,CRUJRAv15_accum,CRUTS410_accum,TRENDYv13,TRENDYv14
Biomass,0.6409120155263518,0.6445849043184866,0.64490631985643,0.658063499464949
Gross Primary Productivity,0.6281427627482845,0.6210354319440433,0.6202575683559889,0.6185278945074464
Leaf Area Index,0.531916730602514,0.5409376897096094,0.4000770739875756,0.3865279517537849
Global Net Ecosystem Carbon Balance,0.7106407053164804,0.5744790977439289,0.5508898000109408,0.7369424687141548
Carbon Dioxide,0.6637814692447492,0.720035334572811,0.7193018863145149,0.802717613618707
Soil Carbon Extended,0.7979951376820065,0.7696766513156835,0.7680250048895897,0.7978414275994129
Ecosystem Respiration,0.5597681045856616,0.572769342963595,0.5718773388489543,0.5742493772751172
Soil Carbon,0.6321907564318417,0.6931647580923541,0.6937289999919682,0.6245956289753836
Evapotranspiration,0.6775931163497652,0.690279525443216,0.6400864871000432,0.692508701420578
Burned Area,0.5326100542842453,0.5237250736242404,0.49571373878751807,0.5326539660453784
Runoff,0.7126970616638709,0.689940119490677,0.6893661482278735,0.6882563447802923
Surface Air Temperature,0.9468848720339439,0.9408887224511865,0.9409257645036329,0.9408985596204346
Precipitation,0.8462401201283409,0.8462462333580788,0.8457499895228124,0.8462678166875774
