"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","344.349","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","4.57545","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Period Mean (original grids)","MeanState","global","scalar","Pg","441.125","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Model Period Mean (intersection)","MeanState","global","scalar","Pg","309.382","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Model Period Mean (complement)","MeanState","global","scalar","Pg","131.742","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Spatial Distribution Score","MeanState","global","score","1","0.880383","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Bias","MeanState","global","scalar","kg m-2","-0.525649","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Bias Score","MeanState","global","score","1","0.633976","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","wie_hist","Overall Score","MeanState","global","score","1","0.75718","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","344.349","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","4.57545","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Period Mean (original grids)","MeanState","global","scalar","Pg","439.362","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Model Period Mean (intersection)","MeanState","global","scalar","Pg","308.306","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Model Period Mean (complement)","MeanState","global","scalar","Pg","131.057","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Spatial Distribution Score","MeanState","global","score","1","0.878202","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Bias","MeanState","global","scalar","kg m-2","-0.541838","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Bias Score","MeanState","global","score","1","0.630756","100.0"
"EcosystemandCarbonCycle","Biomass","Saatchi","fix_spitfire_hist","Overall Score","MeanState","global","score","1","0.754479","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","392.026","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","7.12147","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Period Mean (original grids)","MeanState","global","scalar","Pg","454.507","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Model Period Mean (intersection)","MeanState","global","scalar","Pg","454.507","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Model Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Spatial Distribution Score","MeanState","global","score","1","0.909964","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Bias","MeanState","global","scalar","kg m-2","0.485409","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Bias Score","MeanState","global","score","1","0.664847","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","fix_spitfire_hist","Overall Score","MeanState","global","score","1","0.787405","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","392.026","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","7.12147","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Period Mean (original grids)","MeanState","global","scalar","Pg","456.45","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Model Period Mean (intersection)","MeanState","global","scalar","Pg","456.45","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Model Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Spatial Distribution Score","MeanState","global","score","1","0.911183","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Bias","MeanState","global","scalar","kg m-2","0.499813","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Bias Score","MeanState","global","score","1","0.667408","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","wie_hist","Overall Score","MeanState","global","score","1","0.789295","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","164.017","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","10.308","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Period Mean (original grids)","MeanState","global","scalar","Pg","444.706","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Model Period Mean (intersection)","MeanState","global","scalar","Pg","134.7","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Model Period Mean (complement)","MeanState","global","scalar","Pg","310.006","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Spatial Distribution Score","MeanState","global","score","1","0.893281","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Bias","MeanState","global","scalar","kg m-2","-0.649106","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Bias Score","MeanState","global","score","1","0.638397","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","wie_hist","Overall Score","MeanState","global","score","1","0.765839","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","164.017","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","10.308","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Period Mean (original grids)","MeanState","global","scalar","Pg","442.948","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Model Period Mean (intersection)","MeanState","global","scalar","Pg","134.045","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Model Period Mean (complement)","MeanState","global","scalar","Pg","308.903","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Spatial Distribution Score","MeanState","global","score","1","0.891898","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Bias","MeanState","global","scalar","kg m-2","-0.663596","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Bias Score","MeanState","global","score","1","0.636244","100.0"
"EcosystemandCarbonCycle","Biomass","Thurner","fix_spitfire_hist","Overall Score","MeanState","global","score","1","0.764071","100.0"
"EcosystemandCarbonCycle","Biomass","XuSaatchi","wie_hist","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","474.84","100.0"
"EcosystemandCarbonCycle","Biomass","XuSaatchi","wie_hist","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","6.85758","100.0"
"EcosystemandCarbonCycle","Biomass","XuSaatchi","wie_hist","Period Mean (original grids)","MeanState","global","scalar","Pg","455.402","100.0"
"EcosystemandCarbonCycle","Biomass","XuSaatchi","wie_hist","Model Period Mean (intersection)","MeanState","global","scalar","Pg","455.398","100.0"
"EcosystemandCarbonCycle","Biomass","XuSaatchi","wie_hist","Model Period Mean (complement)","MeanState","global","scalar","Pg","0.00416991","100.0"
