"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.05477","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.15372","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.827194","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","0.936618","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.258392","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Spatial Distribution Score","MeanState","global","score","1","0.96536","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Phase Shift","MeanState","global","scalar","months","0.852773","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Seasonal Cycle Score","MeanState","global","score","1","0.921341","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Bias","MeanState","global","scalar","mm d-1","-0.118149","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Bias Score","MeanState","global","score","1","0.748598","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","RMSE","MeanState","global","scalar","mm d-1","0.467151","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","RMSE Score","MeanState","global","score","1","0.60121","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPJ-EOSIM","Overall Score","MeanState","global","score","1","0.767544","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.05558","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.24178","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.911106","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.01686","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.548798","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Spatial Distribution Score","MeanState","global","score","1","0.9485","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Phase Shift","MeanState","global","scalar","months","1.00097","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Seasonal Cycle Score","MeanState","global","score","1","0.923198","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Bias","MeanState","global","scalar","mm d-1","-0.0383944","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Bias Score","MeanState","global","score","1","0.749347","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","RMSE","MeanState","global","scalar","mm d-1","0.498687","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","RMSE Score","MeanState","global","score","1","0.597636","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM-FATES","Overall Score","MeanState","global","score","1","0.763263","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.05717","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.36196","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Period Mean (original grids)","MeanState","global","scalar","mm d-1","0.975535","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.08079","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Model Period Mean (complement)","MeanState","global","scalar","mm d-1","0.668222","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Spatial Distribution Score","MeanState","global","score","1","0.952694","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Phase Shift","MeanState","global","scalar","months","0.973641","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Seasonal Cycle Score","MeanState","global","score","1","0.922414","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Bias","MeanState","global","scalar","mm d-1","0.0236162","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Bias Score","MeanState","global","score","1","0.751317","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","RMSE","MeanState","global","scalar","mm d-1","0.544737","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","RMSE Score","MeanState","global","score","1","0.569654","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","CLM","Overall Score","MeanState","global","score","1","0.753147","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPX-Bern","Benchmark Period Mean (intersection)","MeanState","global","scalar","mm d-1","1.0529","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPX-Bern","Benchmark Period Mean (complement)","MeanState","global","scalar","mm d-1","1.24337","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPX-Bern","Period Mean (original grids)","MeanState","global","scalar","mm d-1","4.4099","75.0"
"HydrologyCycle","Evapotranspiration","MOD16A2","LPX-Bern","Model Period Mean (intersection)","MeanState","global","scalar","mm d-1","4.68142","75.0"
