"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","399.147","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Period Mean (original grids)","MeanState","global","scalar","Pg","637.441","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Model Period Mean (intersection)","MeanState","global","scalar","Pg","637.441","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Model Period Mean (complement)","MeanState","global","scalar","Pg","0","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Spatial Distribution Score","MeanState","global","score","1","0.785758","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Bias","MeanState","global","scalar","kg m-2","1.52945","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Bias Score","MeanState","global","score","1","0.577389","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","DLEM","Overall Score","MeanState","global","score","1","0.681574","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","392.026","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","7.12147","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Period Mean (original grids)","MeanState","global","scalar","Pg","456.45","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Model Period Mean (intersection)","MeanState","global","scalar","Pg","456.45","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Model Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Spatial Distribution Score","MeanState","global","score","1","0.911183","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Bias","MeanState","global","scalar","kg m-2","0.499813","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Bias Score","MeanState","global","score","1","0.667408","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","LPJ-EOSIM","Overall Score","MeanState","global","score","1","0.789295","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","397.598","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","1.681","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Period Mean (original grids)","MeanState","global","scalar","Pg","503.022","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Model Period Mean (intersection)","MeanState","global","scalar","Pg","498.852","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Model Period Mean (complement)","MeanState","global","scalar","Pg","0.00698504","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Spatial Distribution Score","MeanState","global","score","1","0.895885","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Bias","MeanState","global","scalar","kg m-2","0.690275","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Bias Score","MeanState","global","score","1","0.665544","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM-FATES","Overall Score","MeanState","global","score","1","0.780714","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","397.658","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","1.5913","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Period Mean (original grids)","MeanState","global","scalar","Pg","532.49","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Model Period Mean (intersection)","MeanState","global","scalar","Pg","520.549","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Model Period Mean (complement)","MeanState","global","scalar","Pg","0.022225","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Spatial Distribution Score","MeanState","global","score","1","0.800399","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Bias","MeanState","global","scalar","kg m-2","0.818203","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Bias Score","MeanState","global","score","1","0.624835","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0005","Overall Score","MeanState","global","score","1","0.712617","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","397.658","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","1.5913","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Period Mean (original grids)","MeanState","global","scalar","Pg","493.659","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Model Period Mean (intersection)","MeanState","global","scalar","Pg","482.673","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Model Period Mean (complement)","MeanState","global","scalar","Pg","0.0197473","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Spatial Distribution Score","MeanState","global","score","1","0.827417","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Bias","MeanState","global","scalar","kg m-2","0.565596","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Bias Score","MeanState","global","score","1","0.625282","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JULES-FireP0336","Overall Score","MeanState","global","score","1","0.72635","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","378.527","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","20.6198","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Period Mean (original grids)","MeanState","global","scalar","Pg","518.328","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Model Period Mean (intersection)","MeanState","global","scalar","Pg","518.328","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Model Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Spatial Distribution Score","MeanState","global","score","1","0.870904","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Bias","MeanState","global","scalar","kg m-2","1.08624","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Bias Score","MeanState","global","score","1","0.651409","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","JSBACH","Overall Score","MeanState","global","score","1","0.761157","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg","399.147","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg","nan","100.0"
"EcosystemandCarbonCycle","Biomass","ESACCI","CLM","Period Mean (original grids)","MeanState","global","scalar","Pg","736.857","100.0"
