category,variable,dataset,source_set,model_kind,model,Download Data,Period Mean (original grids) [Pg],Model Period Mean (intersection) [Pg],Benchmark Period Mean (intersection) [Pg],Model Period Mean (complement) [Pg],Benchmark Period Mean (complement) [Pg],Bias [kg m-2],Bias Score [1],Spatial Distribution Score [1],Overall Score [1],RMSE [kg m-2],RMSE Score [1],Period Mean (original grids) [Pg yr-1],Model Period Mean (intersection) [Pg yr-1],Benchmark Period Mean (intersection) [Pg yr-1],Model Period Mean (complement) [Pg yr-1],Benchmark Period Mean (complement) [Pg yr-1],Bias [g m-2 d-1],RMSE [g m-2 d-1],Phase Shift [months],Seasonal Cycle Score [1],Period Mean (original grids) [g m-2 d-1],Model Period Mean (intersection) [g m-2 d-1],Benchmark Period Mean (intersection) [g m-2 d-1],Model Period Mean (complement) [g m-2 d-1],Benchmark Period Mean (complement) [g m-2 d-1],Period Mean (original grids) [1],Model Period Mean (intersection) [1],Benchmark Period Mean (intersection) [1],Model Period Mean (complement) [1],Benchmark Period Mean (complement) [1],Bias [1],RMSE [1],Amplitude Score [1],Max Phase Score [1],Min Phase Score [1],Interannual Variability Score [1],Q10(-10 [C]) [1],Q10(+10 [C]) [1],Q10(+25 [C]) [1],Distribution Score [1],Period Mean (original grids) [mm d-1],Model Period Mean (intersection) [mm d-1],Benchmark Period Mean (intersection) [mm d-1],Model Period Mean (complement) [mm d-1],Benchmark Period Mean (complement) [mm d-1],Bias [mm d-1],RMSE [mm d-1],Period Mean (original grids) [K],Model Period Mean (intersection) [K],Benchmark Period Mean (intersection) [K],Model Period Mean (complement) [K],Benchmark Period Mean (complement) [K],Bias [K],RMSE [K],Period Mean (original grids) [kg m-2 s-1],Model Period Mean (intersection) [kg m-2 s-1],Benchmark Period Mean (intersection) [kg m-2 s-1],Model Period Mean (complement) [kg m-2 s-1],Benchmark Period Mean (complement) [kg m-2 s-1],Bias [kg m-2 s-1],RMSE [kg m-2 s-1],Period Mean [mm d-1]
EcosystemandCarbonCycle,Biomass,ESACCI,both,benchmark,Benchmark,[-],399.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,CABLE-POP,[-],457.,457.,383.,,16.1,0.589,0.666,0.896,0.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,CARDAMOM,[-],391.,391.,387.,,12.4,0.0546,0.764,0.951,0.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,CLASSIC,[-],504.,502.,398.,0.00502,1.53,0.729,0.636,0.856,0.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,CLM-FATES,[-],629.,614.,399.,0.0454,0.698,1.41,0.608,0.767,0.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,CLM6.0,[-],791.,784.,399.,0.0106,,2.46,0.501,0.639,0.570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,DLEM,[-],526.,526.,392.,,7.12,1.01,0.638,0.880,0.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,EDv3,[-],345.,345.,393.,,6.02,-0.333,0.638,0.912,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,ELM,[-],791.,784.,398.,0.0123,1.69,2.62,0.555,0.678,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,ELM-FATES,[-],734.,718.,399.,0.0337,0.707,2.11,0.660,0.809,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,GDSTEM,[-],499.,499.,397.,,2.24,0.751,0.624,0.849,0.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EcosystemandCarbonCycle,Biomass,ESACCI,both,trendy,IBIS,[-],323.,323.,391.,,8.19,-0.494,0.640,0.795,0.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
